01:54:11 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/get_torrents_missing_ids "HTTP/1.1 200 OK"
01:54:11 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/reset_missing_ids_for_retry "HTTP/1.1 200 OK"
01:54:11 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/keep_best_torrents_es "HTTP/1.1 200 OK"
01:54:11 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/torrents_spanish_stats "HTTP/1.1 200 OK"
01:54:11 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/report_spanish_gaps "HTTP/1.1 200 OK"
01:54:11 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/torrents_id_report "HTTP/1.1 200 OK"
01:54:11 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/renumber_torrent_ids "HTTP/1.1 200 OK"
01:54:11 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/torrents_id_report "HTTP/1.1 200 OK"
01:54:11 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/torrents_quality_stats "HTTP/1.1 200 OK"
01:54:11 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/torrents_spanish_stats "HTTP/1.1 200 OK"
01:54:11 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/torrents_spanish_stats "HTTP/1.1 200 OK"
01:54:11 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/reset_missing_ids_for_retry "HTTP/1.1 200 OK"
01:54:12 | INFO    | httpx      | HTTP Request: GET http://localhost:8899/rest/v1/torrents?select=title_text&limit=1 "HTTP/1.1 200 OK"
01:54:12 | INFO    | httpx      | HTTP Request: GET http://localhost:8899/rest/v1/torrents?select=title%2Ctitle_text&limit=5 "HTTP/1.1 200 OK"
01:54:12 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/get_torrents_missing_ids "HTTP/1.1 200 OK"
01:54:12 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/torrents_spanish_stats "HTTP/1.1 200 OK"
01:54:12 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/torrents_quality_stats "HTTP/1.1 200 OK"
01:54:12 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/keep_best_torrents_es "HTTP/1.1 200 OK"
01:54:12 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/report_spanish_gaps "HTTP/1.1 200 OK"
